id;data;klient;miasto;kategoria;ilosc;cena;rabat
1;2025-03-01;Nowak;Kraków;książki;2;39,90;0
2;2025-03-01;Kowalska;Tarnów;elektronika;1;1299,00;10
3;2025-03-02;Nowak;Kraków;książki;1;24,50;
4;2025-03-03;Wiśniewski;;zabawki;3;59,99;5
5;2025-03-03;Kowalska;Tarnów;książki;;44,90;0
6;2025-03-04;Zielińska;Nowy Sącz;elektronika;2;249,00;15
6;2025-03-04;Zielińska;Nowy Sącz;elektronika;2;249,00;15
7;2025-03-05;Nowak;Kraków;zabawki;1;89,00;brak
8;2025-03-06;Wiśniewski;Rzeszów;książki;4;29,90;0
9;2025-03-07;Zielińska;Nowy Sącz;zabawki;2;119,00;20
