id,data,klient,kategoria,ilosc,cena,rabat,wartosc
1,2025-01-04,Kowalska,książki,1,33.68,0,33.68
2,2025-01-05,Nowak,zabawki,1,138.39,5,131.47
3,2025-01-06,Zielińska,książki,3,23.05,5,65.69
4,2025-01-10,Wiśniewski,sport,2,393.49,0,786.98
5,2025-01-11,Wiśniewski,książki,4,48.14,0,192.56
6,2025-01-13,Kowalska,zabawki,3,182.45,0,547.35
7,2025-01-14,Mazur,elektronika,4,792.01,0,3168.04
8,2025-01-17,Zielińska,zabawki,1,40.26,0,40.26
9,2025-01-18,Wiśniewski,elektronika,2,1259.99,10,2267.98
10,2025-01-20,Kowalska,elektronika,1,1025.05,20,820.04
11,2025-01-24,Lis,sport,3,323.61,10,873.75
12,2025-01-26,Mazur,książki,1,45.69,0,45.69
13,2025-01-27,Nowak,książki,2,58.28,20,93.25
14,2025-01-29,Mazur,zabawki,2,175.56,0,351.12
15,2025-01-30,Lis,zabawki,1,137.28,0,137.28
16,2025-01-30,Nowak,książki,1,40.86,20,32.69
17,2025-01-31,Lis,elektronika,3,1044.41,20,2506.58
18,2025-01-31,Nowak,sport,4,285.15,0,1140.6
19,2025-02-01,Nowak,zabawki,1,193.3,0,193.3
20,2025-02-01,Nowak,sport,2,179.82,10,323.68
21,2025-02-04,Wiśniewski,elektronika,1,723.86,5,687.67
22,2025-02-05,Zielińska,zabawki,4,168.06,0,672.24
23,2025-02-06,Wiśniewski,książki,2,50.35,5,95.66
24,2025-02-07,Nowak,sport,4,307.8,20,984.96
25,2025-02-08,Kowalska,książki,1,47.58,0,47.58
26,2025-02-09,Mazur,zabawki,1,66.63,10,59.97
27,2025-02-14,Mazur,elektronika,3,1156.03,10,3121.28
28,2025-02-15,Lis,elektronika,3,327.06,20,784.94
29,2025-02-15,Nowak,zabawki,4,63.76,0,255.04
30,2025-02-18,Lis,elektronika,4,996.21,0,3984.84
31,2025-02-18,Lis,sport,4,311.54,5,1183.85
32,2025-02-19,Zielińska,elektronika,3,1357.83,5,3869.82
33,2025-02-20,Nowak,zabawki,2,76.34,0,152.68
34,2025-02-21,Mazur,książki,2,26.64,10,47.95
35,2025-02-21,Wiśniewski,elektronika,1,1440.66,10,1296.59
36,2025-02-21,Nowak,elektronika,2,358.47,0,716.94
37,2025-02-21,Kowalska,książki,2,31.86,10,57.35
38,2025-02-23,Wiśniewski,książki,1,37.48,0,37.48
39,2025-02-24,Nowak,zabawki,1,120.0,0,120.0
40,2025-02-25,Kowalska,zabawki,3,180.08,0,540.24
41,2025-02-25,Wiśniewski,zabawki,2,159.29,0,318.58
42,2025-02-25,Mazur,książki,4,62.49,20,199.97
43,2025-02-26,Nowak,książki,2,30.51,0,61.02
44,2025-02-27,Zielińska,książki,4,41.46,10,149.26
45,2025-02-28,Mazur,zabawki,3,111.33,0,333.99
46,2025-03-01,Lis,sport,1,101.6,5,96.52
47,2025-03-01,Mazur,książki,1,36.41,0,36.41
48,2025-03-03,Kowalska,zabawki,3,82.42,10,222.53
49,2025-03-04,Lis,książki,3,27.64,20,66.34
50,2025-03-04,Mazur,książki,2,53.01,5,100.72
51,2025-03-05,Kowalska,książki,3,62.3,0,186.9
52,2025-03-06,Wiśniewski,książki,4,24.2,0,96.8
53,2025-03-06,Zielińska,zabawki,2,111.79,0,223.58
54,2025-03-08,Wiśniewski,sport,1,323.77,0,323.77
55,2025-03-08,Kowalska,książki,2,64.88,0,129.76
56,2025-03-09,Mazur,elektronika,4,1250.35,5,4751.33
57,2025-03-10,Mazur,zabawki,4,106.2,0,424.8
58,2025-03-10,Wiśniewski,sport,4,337.19,0,1348.76
59,2025-03-11,Lis,zabawki,4,70.93,0,283.72
60,2025-03-11,Wiśniewski,książki,1,41.65,20,33.32
61,2025-03-11,Lis,zabawki,2,59.98,20,95.97
62,2025-03-11,Zielińska,książki,1,48.05,10,43.24
63,2025-03-12,Wiśniewski,sport,1,187.22,0,187.22
64,2025-03-13,Nowak,książki,4,34.46,0,137.84
65,2025-03-14,Zielińska,zabawki,4,157.8,20,504.96
66,2025-03-14,Kowalska,książki,1,38.83,5,36.89
67,2025-03-18,Kowalska,elektronika,3,518.29,0,1554.87
68,2025-03-18,Kowalska,sport,3,95.81,0,287.43
69,2025-03-19,Mazur,zabawki,1,104.6,0,104.6
70,2025-03-19,Nowak,elektronika,4,559.0,20,1788.8
71,2025-03-20,Lis,sport,4,179.25,0,717.0
72,2025-03-21,Mazur,sport,3,132.6,20,318.24
73,2025-03-21,Nowak,książki,3,65.79,10,177.63
74,2025-03-22,Zielińska,elektronika,2,1405.5,20,2248.8
75,2025-03-23,Zielińska,elektronika,4,822.21,10,2959.96
76,2025-03-23,Wiśniewski,zabawki,2,139.31,0,278.62
77,2025-03-25,Lis,książki,4,72.03,10,259.31
78,2025-03-25,Wiśniewski,książki,1,79.93,0,79.93
