id;data;klient;kategoria;ilosc;cena;rabat
25;2025-02-08;Kowalska;książki;1;47,58;0
7;2025-01-14;Mazur;elektronika;4;792,01;0
154;2025-05-08;Mazur;książki;4;44,2;5
213;2025-06-13;Nowak;elektronika;4;856,17;0
200;2025-06-07;Wiśniewski;zabawki;1;157,39;5
178;25.05.2025;Wiśniewski;zabawki;3;57,53;0
194;2025-06-04;Wiśniewski;książki;2;63,7;5
125;2025-04-21;Mazur;zabawki;1;74,98;10
10;2025-01-20;Kowalska;elektronika;1;1025,05;20
102;2025-04-10;Kowalska;książki;4;56,38;20
46;2025-03-01;Lis;sport;1;101,6;5
212;2025-06-13;Wiśniewski;książki;3;60,68;20
118;2025-04-18;Zielińska;zabawki;2;185,26;10
173;2025-05-22;Lis;zabawki;4;98,35;0
83;2025-03-29;Wiśniewski;zabawki;4;108,36;0
147;2025-05-02;Mazur;sport;4;193,52;20
191;03.06.2025;Mazur;sport;3;94,9;5
16;2025-01-30;Nowak;książki;1;40,86;20
67;2025-03-18;Kowalska;elektronika;3;518,29;0
143;2025-04-30;Zielińska;książki;4;64,82;5
34;2025-02-21;Mazur;książki;2;26,64;10
20;2025-02-01;Nowak;sport;2;179,82;10
110;2025-04-14;Nowak;zabawki;;191,38;0
31;2025-02-18;Lis;sport;4;311,54;5
207;2025-06-11;Mazur;elektronika;;683,39;0
121;2025-04-20;Zielińska;książki;4;68,87;0
11;2025-01-24;Lis;sport;3;323,61;10
74;2025-03-22;Zielińska;elektronika;2;1405,5;20
160;2025-05-10;Nowak;zabawki;1;109,6;0
157;2025-05-09;Kowalska;zabawki;3;154,07;0
113;2025-04-14;Mazur;książki;1;60,88;0
220;2025-06-17;Kowalska;sport;1;173,22;0
26;2025-02-09;Mazur;zabawki;1;66,63;10
61;2025-03-11;Lis;zabawki;2;59,98;20
19;2025-02-01;Nowak;zabawki;1;193,3;0
120;2025-04-19;Lis;zabawki;2;145,21;0
98;2025-04-08;Zielińska;książki;4;73,39;10
199;2025-06-06;Zielińska;elektronika;2;1257,68;20
140;2025-04-28;Zielińska;zabawki;1;167,69;0
62;2025-03-11;Zielińska;książki;1;48,05;10
76;2025-03-23;Wiśniewski;zabawki;2;139,31;0
128;2025-04-22;Zielińska;sport;1;138,56;0
114;2025-04-15;Wiśniewski;książki;4;31,52;0
17;2025-01-31;Lis;elektronika;3;1044,41;20
198;06.06.2025;Lis;elektronika;3;1155,44;0
68;2025-03-18;Kowalska;sport;3;95,81;brak
208;2025-06-12;Wiśniewski;zabawki;2;163,77;5
39;2025-02-24;Nowak;zabawki;1;120,0;0
197;05.06.2025;Wiśniewski;zabawki;1;119,67;20
230;2025-06-23; WIŚNIEWSKI ;książki;4;78,8;0
210;2025-06-12;Wiśniewski;elektronika;1;483,08;0
97;2025-04-08;Kowalska;książki;1;72,37;0
169;2025-05-19;Mazur;zabawki;2;76,6;10
85;2025-03-29;Lis;zabawki;3;32,69;0
56;2025-03-09;Mazur;elektronika;4;1250,35;5
87;2025-03-29;Lis;elektronika;1;817,32;0
165;2025-05-13;Mazur;elektronika;1;1224,68;5
181;2025-05-25;Kowalska;książki;3;32,66;10
153;2025-05-08;Nowak;książki;4;44,71;0
233;2025-06-23;Zielińska;książki;3;66,21;5
156;2025-05-09;Wiśniewski;elektronika;1;481,93;5
116;2025-04-17;Kowalska;książki;3;68,72;0
183;2025-05-26;Nowak;zabawki;1;174,67;20
227;2025-06-21;Mazur;książki;4;37,04;5
69;2025-03-19;Mazur;zabawki;1;104,6;0
105;2025-04-12;Nowak;książki;4;53,42;0
70;2025-03-19;Nowak;elektronika;4;559,0;20
112;2025-04-14;Lis;sport;4;341,94;0
171;2025-05-19;Nowak;zabawki;3;52,96;0
218;2025-06-15;Mazur;książki;1;75,07;20
155;2025-05-09;Kowalska;książki;1;75,4;0
193;2025-06-04;Zielińska;książki;4;76,31;0
80;2025-03-27;Wiśniewski;sport;4;361,42;0
30;2025-02-18;Lis;elektronika;4;996,21;0
236;2025-06-26;Lis;książki;2;59,51;0
229;2025-06-22;Zielińska;elektronika;2;666,76;5
182;2025-05-26;Mazur;książki;4;75,04;0
6;2025-01-13;Kowalska;zabawki;3;182,45;0
57;2025-03-10;Mazur;zabawki;4;106,2;0
126;2025-04-22;Mazur;zabawki;2;103,09;20
149;2025-05-04;Nowak;sport;2;351,64;0
115;2025-04-15;Mazur;zabawki;2;59,83;0
66;2025-03-14;Kowalska;Książki ;1;38,83;5
133;2025-04-24;Zielińska;książki;3;32,78;20
209;2025-06-12;mazur;zabawki;4;185,24;10
174;2025-05-23;Nowak;elektronika;1;453,33;0
32;2025-02-19;Zielińska;elektronika;3;1357,83;5
13;2025-01-27;Nowak;książki;2;58,28;20
36;2025-02-21;Nowak;elektronika;2;358,47;0
29;2025-02-15;Nowak;zabawki;4;63,76;0
